course_name,consolidated_clo_text,num_sub_clos,sub_clo_codes,source_files
Pengantar Sistem Informasi,"Menjelaskan peran sistem dan teknologi informasi dalam konteks individu, bisnis, maupun organisasi, menganalisis nilai dan risiko penggunaannya, memodelkan penyelenggaraan sistem informasi dalam organisasi, serta menjelaskan peran profesi sistem informasi dalam pembangunan berkelanjutan.",4,CLO-01; CLO-02; CLO-04; CLO-12,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Pengantar Teknologi Elektro dan Informatika Cerdas,"Memahami definisi dan komponen sistem informasi serta perannya dalam bisnis, membedakan jenis-jenis SI dengan contoh aplikatif dalam organisasi/bisnis, menjelaskan tren dan teknologi terkini dalam sistem informasi, serta mengonsepkan sistem informasi yang berguna bagi masyarakat.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Pengantaran Sistem Informasi,"Menjelaskan profesi dalam bidang sistem informasi dan menganalisisnya, menjelaskan sistem dan teknologi informasi yang berkembang serta penyesuaian terhadapnya, serta menjelaskan nilai dan risiko dari data/informasi/knowledge dalam konteks bisnis atau organisasi.",4,CLO 1-2; CLO 2-1; CLO 2-4; CLO 3-3,TeluSurabaya.xlsx
Pengembangan Aplikasi Bergerak,"Memahami konsep dan tren pengembangan aplikasi mobile, membuat aplikasi mobile sederhana (helloworld) hingga solusi terintegrasi, merancang dan membangun tampilan (frontend) sesuai kaidah user experience, merancang layanan web service/backend untuk aplikasi mobile, serta membuat aplikasi mobile dengan fungsi penyimpanan data lokal maupun cloud.",7,CLO 1-01; CLO 1-02; CLO 1-02; CLO 2-01; CLO 3-01; CLO 3-02; CLO 3-03,TeluSurabaya.xlsx
Pengembangan Aplikasi Website,"Menerapkan HTML, CSS, dan Bootstrap untuk membangun halaman website, membangun solusi aplikasi web berdasarkan studi kasus, menggunakan pemrograman server-side dan mengintegrasikannya dengan database, menerapkan konsep MVC pada framework web, menggunakan alat kolaborasi kode, serta mengimplementasikan solusi sistem informasi dan menggunakan teknik/perangkat pengembangan aplikasi dalam kasus nyata.",7,CLO 1-01; CLO 1-02; CLO 2-01; CLO 2-02; CLO 2-03; CLO-03; CLO-04,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Pengembangan Sistem Cerdas,"Memahami konsep dasar sistem cerdas, menganalisis permasalahan infokom kompleks dalam konteks enterprise/masyarakat, memahami teknik dasar sistem cerdas untuk klasifikasi (Decision Tree, Neural Network), merancang arsitektur dan menerapkan teknik sistem cerdas pada studi kasus spesifik berbasis project based learning, merancang dan mengevaluasi solusi berbasis sistem informasi menuju data-driven organization, serta menggunakan metode/teknik/perangkat terkini untuk solusi sistem informasi baik praktikum maupun kasus nyata.",8,CLO-1; CLO-1; CLO-1; CLO-3; CLO-4; CLO-4; CLO-4; CLO-5,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Pengembangan Sistem dan Operasi,"Memahami DevOps dan kasus bisnisnya, mengkaji dan mengembangkan ide inovatif TI, serta menggali kebutuhan dan merancang integrasi sistem.",3,CLO01; CLO01 (2); CLO01 (3),ITS_SI_BRIN.xlsx
Pengembangan UI Lanjut,"Memahami konsep dasar UI/UX dan UX design thinking process, melakukan user research dan mensintesis hasilnya, melakukan ideation dan brainstorming solusi, menerapkan component/variant properties, autolayout, design system, dan variable pada rancangan di Figma, memahami konsep high-fidelity prototype dan interface prototyping, melakukan usability testing pada prototype beserta sintesis hasilnya, serta mengomunikasikan hasil perancangan interaksi dalam sebuah forum.",14,CLO 1-1; CLO 1-2; CLO 1-3; CLO 2-1; CLO 2-2; CLO 3-1; CLO 3-2; CLO 3-3; CLO 3-4; CLO 3-5; CLO 3-6; CLO 4-1; CLO 4-2; CLO 5-1,TeluSurabaya.xlsx
Pengolahan Bahasa Alami,"Memahami dasar konseptual pengolahan bahasa alami, merancang skema encoding bahasa alami, menerapkan pemodelan bahasa sederhana, mengidentifikasi teknik prapemrosesan bahasa, menerapkan teknik analisis data teks, menerapkan langkah pembuatan dataset bahasa alami, serta membuat, mengevaluasi, dan merekomendasikan model NLP.",7,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e; CLO01f; CLO01g,ITS_SI_BRIN.xlsx
Pengujian dan Implementasi Sistem,"Membedakan pengujian fungsional dan non-fungsional serta menerapkannya dalam studi kasus, memahami pentingnya pemeliharaan sistem dan metode evaluasi pascaimplementasi, memahami konsep dasar implementasi dan pengujian sistem serta siklus hidup pengembangan sistem, membedakan model implementasi sistem beserta keunggulan dan kelemahannya, memahami jenis dokumentasi dan praktik terbaiknya, menerapkan berbagai metode pengujian dalam proyek nyata, mengidentifikasi jenis dan teknik pengujian perangkat lunak, serta memahami proses audit sistem informasi dan compliance terhadap standar industri.",8,CLO 1-2; CLO 1-3; CLO 2-1; CLO 2-2; CLO 3-1; CLO 3-2; CLO 4-1; CLO 4-3,TeluSurabaya.xlsx
Perancangan & Pengembangan Perangkat Lunak,"Menguraikan konsep OOAD dan diagram UML, menerapkan analisis dan perancangan dengan Iconic process, menganalisis konsep konstruksi perangkat lunak, menguji perangkat lunak hingga level unit, serta membangun perangkat lunak skala kecil-menengah.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Perancangan Interaksi,"Menjelaskan dasar dan prinsip perancangan interaksi serta style interaksi, mengidentifikasi permasalahan dan mendefinisikan kebutuhan sistem, menerapkan proses, prinsip, dan style interaksi (termasuk menggunakan tools Figma) dalam perancangan, menguji produk dengan metode usability testing, serta mengomunikasikan hasil perancangan interaksi dalam sebuah forum.",10,CLO 1-1; CLO 1-2; CLO 2-1; CLO 3-1; CLO 3-2; CLO 3-3; CLO 3-4; CLO 4-1; CLO 5-1; CLO-3,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Perencanaan Strategis SI/TI,"Menjelaskan konsep TI sebagai aset strategis, membangun perencanaan strategis organisasi (SWOT, BSC), menganalisis strategi TI dengan berbagai metode, serta merancang enterprise architecture menggunakan TOGAF.",4,CLO01; CLO02; CLO03; CLO04,ITS_SI_BRIN.xlsx
Probabilistik dan Statistika untuk TI,"Memahami terminologi, konsep dasar dan kegunaan statistika, metode pengumpulan data kuantitatif, merumuskan hipotesa dan menarik inferensi data sesuai skala data, menyusun dan mengimplementasikan instrumen pengumpulan data, serta memahami probabilitas, distribusi random variable, dan inferential statistics untuk data numerikal maupun kategorikal.",6,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e; CLO01f,ITS_SI_BRIN.xlsx
Probabilitas dan Statistik,"Menghitung, menyajikan, dan menginterpretasikan data sistem informasi menggunakan teknik statistika deskriptif, memahami dan menerapkan konsep probabilitas dalam analisis dan pengambilan keputusan berbasis data, serta memahami dan menerapkan distribusi probabilitas univariate (diskrit dan kontinu) termasuk distribusi normal dan Teorema Limit Pusat dalam pemodelan dan pengambilan keputusan berbasis data.",3,CLO 1-Sub CLO-01; CLO 1-Sub CLO-02; CLO 2-Sub CLO-03,TeluSurabaya.xlsx
Proteksi Aset Informasi,"Memahami pengetahuan keamanan informasi, mengemukakan metode proteksi fisik dan teknikal aset informasi, serta menganalisis dan menerapkan perencanaan security.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Proyek Perangkat Lunak,"Menjelaskan hubungan antara perangkat lunak dan teknik pengembangannya, aktivitas rekayasa kebutuhan dan implementasi PL, filosofi dan pengelolaan proyek berbasis Agile dengan framework SCRUM (karakteristik, proses, aktivitas, artifak, product envisioning), teknologi kolaborasi tim virtual, melakukan estimasi product backlog dan berkolaborasi menghasilkan produk perangkat lunak sesuai rencana sprint, merumuskan dan menjalankan langkah-langkah pada tiap sprint, menganalisis dan mengevaluasi permasalahan serta solusi berbasis sistem informasi dalam konteks enterprise/masyarakat, serta bekerja kolaboratif, proaktif dan berkomunikasi efektif dalam konteks profesional.",22,CLO 1-2; CLO 1-3; CLO 1-5; CLO 1-7; CLO 2-1; CLO 2-2; CLO 2-3; CLO 2-7; CLO 2-9; CLO 3-1; CLO 3-3; CLO 3-5; CLO 4-2; CLO 4-4; CLO-1; CLO-1; CLO-1; CLO-2; CLO-3; CLO-3; CLO-4; CLO-5,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Rekayasa Kebutuhan Perangkat Lunak,"Memahami definisi dan pentingnya rekayasa kebutuhan perangkat lunak, konsep/model/peran dalam prosesnya, konsep elisitasi dan teknik penggalian kebutuhan, teknik analisis/validasi/dokumentasi kebutuhan (SKPL/SRS), serta memahami fenomena perubahan kebutuhan perangkat lunak yang dinamis.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Rekayasa Proses Bisnis,"Menganalisis permasalahan infokom kompleks dalam konteks enterprise/masyarakat, mendefinisikan dan memodelkan kebutuhan dengan menerapkan ilmu komputasi/TIK dan disiplin lain yang relevan, berkomunikasi efektif secara lisan maupun tulisan, menggunakan teknik/metode/perangkat lunak terkini untuk solusi pengelolaan fungsi dan bisnis organisasi, serta mengusulkan perbaikan arsitektur/pengelolaan sistem informasi untuk mendukung tujuan organisasi dan strategi bisnisnya.",8,CLO-1; CLO-1; CLO-1; CLO-2; CLO-3; CLO-4; CLO-4; CLO-4,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Riset Operasi,"Mendefinisikan dan memodelkan permasalahan optimasi, menyelesaikan model dengan metode grafis maupun simpleks, menemukan informasi tambahan dari solusi optimal (analisa post-optimal/sensitivitas), serta menyelesaikan model pemrograman integer dan model khusus (transportasi, penugasan).",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
SI Capstone,"Mempraktikkan manajemen proyek tangkas serta perencanaan dan pengembangan perangkat lunak, mengimplementasikan pembelajaran berbasis proyek di lingkungan nyata, serta mendemonstrasikan hasil implementasi proyek.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Sistem Basis Data,"Mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise/masyarakat, merancang dan mengimplementasikan sistem manajemen data (basis data konseptual, logikal, dan fisik) mulai dari tahapan daur hidup pengembangan hingga arsitekturnya, menjelaskan konsep NoSQL, menspesifikasikan definisi/query/manipulasi data relasional, menggunakan perkakas dan metode/perangkat lunak terkini untuk solusi di bidang data, serta memahami konsep dasar bidang infokom.",15,CLO 1-1; CLO 1-1; CLO 2-2; CLO 2-3; CLO 3-4; CLO 4-5; CLO-01; CLO-01; CLO-03; CLO-08; CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; ITS_SI_BRIN.xlsx; TeluSurabaya.xlsx
Sistem Data-Intensif,"Memahami metrik dan komponen sistem data-intensif, serta merancang dan membangun sistem berbasis polyglot persistence.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Sistem Enterprise,"Mengutarakan proses bisnis fungsi sales-distribusi dan produksi perusahaan, menggunakan software ERP pada tahap awal dan sertifikasi, membedakan dan menjelaskan konsep integrasi sistem dan hubungannya dengan ERP serta sistem informasi pendukung proses bisnis, mengemukakan proses akuntansi/keuangan/HR perusahaan, mengidentifikasi fungsi dan proses bisnis serta pemanfaatan sistem enterprise, memahami prinsip dan fungsi manajemen sistem informasi untuk strategi bisnis, serta merencanakan dan mempraktikkan integrasi proses bisnis dengan ERP open source maupun proprietary.",12,CLO 1-Sub-CLO02; CLO 1-Sub-CLO04; CLO 2-Sub-CLO01; CLO 2-Sub-CLO01; CLO 2-Sub-CLO03; CLO 2-Sub-CLO05; CLO-1; CLO-2; CLO01a; CLO01b; CLO01c; CLO01d,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; ITS_SI_BRIN.xlsx; TeluSurabaya.xlsx
Sistem Informasi Akuntansi,"Menganalisis prinsip dan fungsi manajemen sistem informasi untuk strategi bisnis, memodelkan kebutuhan infokom dalam konteks enterprise/masyarakat, menggunakan kakas pengelolaan sistem informasi perusahaan berbasis ERP, serta memahami konsep dasar bidang infokom.",4,CLO-02; CLO-05; CLO-06; CLO-08,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Sistem Keputusan Berbasis Model,"Memahami konsep sistem, model, dan simulasi, faktor dan lingkungan pengambilan keputusan, mengembangkan model simulasi system dynamics, mengembangkan skenario model prediksi dan analisis sensitivitas, serta menganalisis sistem keputusan berbasis model.",5,CLO01; CLO02; CLO03; CLO04; CLO05,ITS_SI_BRIN.xlsx
Sistem Manajemen Hubungan Pelanggan,"Menjelaskan evolusi CRM konvensional menuju Social CRM, cara berpikir konsumen, dan model IDIC & Trust dalam CRM, menganalisis klasifikasi dan segmentasi konsumen, menjabarkan konsep analytics dan data mining dalam CRM beserta tool-nya, merancang dan merumuskan pengukuran serta pengelolaan nilai pelanggan berdasarkan customer-strategy enterprise, serta mendesain customer-strategy enterprise.",5,CLO 1; CLO 2; CLO 3; CLO 4; CLO 5,TeluSurabaya.xlsx
Sistem Operasi,"Merancang, mengembangkan, mengimplementasikan dan mengevaluasi solusi sistem informasi menuju data-driven organization, mengimplementasikan solusi dengan metodologi pengembangan yang tepat, menggunakan metode tertentu dalam konteks penelitian atau proyek nyata, serta menggunakan teknik, keahlian, dan perangkat dalam pengembangan aplikasi dan integrasinya pada kasus nyata.",8,CLO 1; CLO 2; CLO 3; CLO 4; CLO-01; CLO-02; CLO-03; CLO-04,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Statistika Industri,"Membangun model statistika untuk menganalisis, memprediksi, dan mengambil keputusan pada permasalahan sistem informasi, melakukan pengumpulan data dengan teknik sampling yang tepat, serta melakukan pengujian hipotesis untuk menyelesaikan masalah.",3,CLO 1-Sub CLO-3; CLO 2-Sub CLO-01; CLO 7-Sub CLO-2,TeluSurabaya.xlsx
Tata Kelola Keamanan Informasi,"Menjelaskan konsep tata kelola keamanan informasi, memahami manajemen risiko keamanan informasi, manajemen keamanan siber, jaminan keamanan siber, serta tahapan penyusunan dokumen berbasis COBIT.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Tata Kelola dan Audit TI,"Memahami konsep sistem pengendalian internal dan tata kelola TI, COBIT sebagai kerangka kerja tata kelola TI, dasar-dasar audit TI, serta tahapan audit lingkungan TI.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Tata Kelola dan Managemen Teknologi Informasi,"Memahami dan menjelaskan konsep tata kelola dan manajemen TI (TKMTI) berdasarkan kerangka kerja COBIT 2019, menjelaskan faktor desain untuk penentuan tujuan TKMTI prioritas beserta tujuh komponen sistemnya, menentukan lingkup tujuan TKMTI dan merancang instrumen penilaian kinerja, serta melaksanakan penilaian kesenjangan dan merancang solusi tujuh komponen sistem TKMTI pada suatu organisasi.",5,CLO 1-01; CLO 1-01; CLO 2-02; CLO 3-03; CLO 3-04,TeluSurabaya.xlsx
Tata Kelola dan Manajemen Teknologi Informasi,"Menggunakan teknik/metode/perangkat lunak/kakas terkini untuk solusi sistem informasi dalam kasus nyata, menganalisis permasalahan kompleks bidang infokom dalam konteks enterprise/masyarakat, serta mengevaluasi kinerja sistem informasi dan mengusulkan perbaikan untuk mendukung tujuan bisnis organisasi.",3,CLO-02; CLO-03; CLO-04,Dataset_CLO_OBE_SI_TelUJakarta.xlsx
Teknologi Berkembang,"Memahami pengetahuan inovasi dan teknologi yang berkembang, mengemukakan teknologi-teknologi tersebut, serta melaporkan hasil analisis masalah dengan solusi inovatif.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Teknologi Machine Learning,"Memahami pengetahuan teknologi pada machine learning, mengemukakan teknologi tersebut, serta mempraktikkan teknologi machine learning dengan solusi inovatif.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
